Ticker,Security Name,Sector
MMM,3M,Industrials
AOS,A. O. Smith,Industrials
ABT,Abbott,Health Care
ABBV,AbbVie,Health Care
ACN,Accenture,Information Technology
ADM,ADM,Consumer Staples
ADBE,Adobe Inc.,Information Technology
AES,AES Corporation,Utilities
AFL,Aflac,Financials
ABNB,Airbnb,Consumer Discretionary
APD,Air Products and Chemicals,Materials
ALB,Albemarle Corporation,Materials
ARE,Alexandria Real Estate Equities,Real Estate
LNT,Alliant Energy,Utilities
ALL,Allstate,Financials
GOOGL,Alphabet Inc. (Class A),Communication Services
GOOG,Alphabet Inc. (Class C),Communication Services
MO,Altria,Consumer Staples
AMZN,Amazon,Consumer Discretionary
AMT,American Tower,Real Estate
